Module;Name;Exam type;Date;Weight;Grade;Semester
Module 117;Implement IT and network infrastructure for a small business;Intermediate exam;2024-09-24;0.5;5.8;1
Module 117;Implement IT and network infrastructure for a small business;Project;2024-10-29;0.5;6.0;1
Module 162;Analyze and model data;Intermediate exam;2024-09-28;0.5;5.6;1
Module 162;Analyze and model data;Final exam;2024-11-02;0.5;5.8;1
Module 319;Design and implement applications;Intermediate exam;2024-09-28;0.5;6.0;1
Module 319;Design and implement applications;Final exam;2024-11-02;0.5;5.4;1
Module 431;Carry out tasks in your own professional field independently;Final exam;2024-11-02;1.0;5.5;1
Module 114;Apply coding, compression, and encryption methods;Presentation;2024-11-30;0.5;5.7;1
Module 114;Apply coding, compression, and encryption methods;Final exam;2024-12-21;0.5;5.3;1
Module 164;Create databases and insert data;Intermediate exam;2024-11-30;0.5;5.9;1
Module 164;Create databases and insert data;Final exam;2024-12-21;0.5;5.9;1
Module 187;Set up an ICT workstation with an operating system;Final exam;2024-12-10;1.0;5.5;1
Module 123;Deploy server services;Project;2024-01-09;1.0;5.5;1
Module 122;Automate processes in system administration using scripts;Intermediate exam;2025-02-13;0.5;6.0;1
Module 122;Automate processes in system administration using scripts;Project;2025-03-13;0.5;5.0;1
Module 231;Apply data protection and data security;Intermediate exam;2025-02-08;0.3;5.5;1
Module 231;Apply data protection and data security;Project;2025-03-15;0.7;5.9;1
Module 106;Query, modify, and maintain databases;Final exam;2025-03-04;1.0;6.0;1
Module 254;Describe business processes in your own professional environment;Final exam;2025-02-15;1.0;5.5;1
Module 295;Develop a backend for applications;Project;2025-04-12;1.0;5.75;2
Module 294;Develop the frontend of an interactive web application;Project;2025-06-24;1.0;5.75;2
Module 293;Create and publish a website;Project;2025-05-13;1.0;5.0;2
Module 165;Use NoSQL databases;Final exam practical;2025-05-22;0.5;5.5;2
Module 165;Use NoSQL databases;Final exam theory;2025-06-05;0.5;5.5;2
Module 426;Develop software using agile methods;Final exam;2025-07-08;1.0;6.0;2
Module 322;Design and implement user interfaces;Final exam;2025-07-12;1.0;6.0;2
Module 320;Object-oriented programming;Final exam;2025-07-05;1.0;5.5;2
Module 321;Programming Distributed Systems;Project;2025-10-11;1.0;5.7;3
Module 323;Functional programming;Final exam;2025-10-07;1.0;5.83;3
Module 306;Carry out a small IT project;Project;2025-09-27;1.0;5.5;3
